country,IN,2011,Water Supply Related,0
state,26,2011,Water Supply Related,0
state,25,2011,Water Supply Related,0
state,30,2011,Water Supply Related,0
state,24,2011,Water Supply Related,0
state,6,2011,Water Supply Related,0
state,2,2011,Water Supply Related,0
state,1,2011,Water Supply Related,0
state,20,2011,Water Supply Related,0
state,29,2011,Water Supply Related,0
state,32,2011,Water Supply Related,0
state,31,2011,Water Supply Related,0
state,23,2011,Water Supply Related,0
state,27,2011,Air Pollution,57
state,27,2011,Bad Patches/ Potholes on the Roads,18
state,27,2011,Bad Quality of material given to student,81
state,27,2011,Buildings Related,56
state,27,2011,Burst water main lines,24
state,27,2011,Change of user Res to Commercial,56
state,27,2011,Cleaning of Septic Tank,40
state,27,2011,Cleaning of Water Entrance,38
state,27,2011,Cleaning of open SWD,44
state,27,2011,Cleaning/ Removal of silt from nullah/ cross culverts etc.,46
state,27,2011,Cleaning/ Repair of the P.S.C/ W.C Block/ Channels,45
state,27,2011,Collection point not attended properly,45
state,27,2011,Construction of Pathways/ Small roads,40
state,27,2011,Contaminated Water Supply,30
state,27,2011,Delay in transfer case,53
state,27,2011,Digging of roads,39
state,27,2011,Drainage Chokes and Blockages,26
state,27,2011,Employing children (below 14) in the org,10
state,27,2011,Encroachments Releted,63
state,27,2011,Fallen Tree on road,48
state,27,2011,Flooding during Monsoon,42
state,27,2011,Fogging,27
state,27,2011,Found encroachment in the school premise,50
state,27,2011,Garbage lorry not reported for service/ Lorry not covered,32
state,27,2011,Garbage not lifted from House/ Gully,32
state,27,2011,Garbage not lifted from municipal market,58
state,27,2011,Garbage not lifted from road/ authorised collection point,39
state,27,2011,Grant Authority u/ s 449 MMC Act - Repair,55
state,27,2011,Hawkers,34
state,27,2011,Heavy Leakage From Ceiling,58
state,27,2011,Issue of Birth/ Death Certificate,34
state,27,2011,Leakage near meter,12
state,27,2011,Leaks in Water Lines,31
state,27,2011,Lifting of Tree Cutting,33
state,27,2011,MOH Related (MOH),45
state,27,2011,Maintenance of Municipal Property,47
state,27,2011,Major Repairs to Muncipal Property,47
state,27,2011,Minor Repairs to Muncipal Property,51
state,27,2011,Miscellaneous MCGM Issues,80
state,27,2011,Monsoon Shed for Muncipal property,40
state,27,2011,Mosquito Nuisance,28
state,27,2011,Municipal Colony/ Slum,72
state,27,2011,Municipal Land - Road/ Footpath/ SWD,46
state,27,2011,Municipal Plot,53
state,27,2011,No warning/ alarm system,83
state,27,2011,Non attendance of Nuisance Detector,41
state,27,2011,Non attendantance at the Public Toilet/ urinals,34
state,27,2011,Non observance of Holidays,32
state,27,2011,Non receipt of water bills,34
state,27,2011,Non-attendance of nuisance Detector,41
state,27,2011,Non-maintenance of Premises,62
state,27,2011,Nuisance due to cockroaches,42
state,27,2011,"Nuisance due to vagrants on municipal roads, footpaths, gardens",46
state,27,2011,Nuisance due to white ants,25
state,27,2011,Odour (Foul Smell) from Drains,54
state,27,2011,Online Renewal Application,34
state,27,2011,Open beyond permissible hours,48
state,27,2011,Others (Estate),58
state,27,2011,Overflow of overhead tank/ suction tank,30
state,27,2011,Overflowing drains of manholes,40
state,27,2011,Pan/ Gutka hawker near school premises,53
state,27,2011,Pending Transfer cases,56
state,27,2011,Permission for Temporary Monsoon Shed,58
state,27,2011,Permission for Tree Cutting,70
state,27,2011,Pertaining to rent,89
state,27,2011,Pollution due to Chemical Effluents,63
state,27,2011,"Pre-monsoon works halted, terminated",53
state,27,2011,Private Land/ Building/ Society/ Factories,62
state,27,2011,Proper Electric Supply to Mun Property,48
state,27,2011,Protection of Mun Playgrounds/ Gardens,50
state,27,2011,Providing Name Plates to the Road,57
state,27,2011,"Providing damage/ missing gratings, manhole cover over SWD",50
state,27,2011,Providing water by tankers,76
state,27,2011,Providing/ removing/ replacing dustbins,44
state,27,2011,"Providing/ repairing doors, windows of P.S. blocks",28
state,27,2011,Raising of manhole (except in monsoon),45
state,27,2011,Rat Nuisance,31
state,27,2011,Regularisation of Balcony Enclosures,64
state,27,2011,Reinstatement of Trenches,46
state,27,2011,Removal of Debris,39
state,27,2011,Removal of Rank Vegetation on Roads,41
state,27,2011,Removal of dead animals,43
state,27,2011,Removal of water meters,33
state,27,2011,Repair Perm-Tolerated/ Unauthor Structure,51
state,27,2011,Repair to damaged open SWD,51
state,27,2011,Repairs to pipe sewers/ main sewers,49
state,27,2011,Replacement of Missing/ Damaged Manhole,49
state,27,2011,Resurfacing of Road,36
state,27,2011,Roads Related,31
state,27,2011,Running without license,36
state,27,2011,Shop open on weekly holiday,35
state,27,2011,Shortage of water supply,29
state,27,2011,Signals,21
state,27,2011,Silt to be lifted from road,43
state,27,2011,Slab Fallen down,69
state,27,2011,Speed Breakers,42
state,27,2011,Storage and sale of plastic bags,26
state,27,2011,Street Lighting,54
state,27,2011,Sunken Manhole,21
state,27,2011,Sweeping of roads,36
state,27,2011,Trade without License,51
state,27,2011,Transfer of tenancy,69
state,27,2011,Trimming of Branches,54
state,27,2011,"Unauthorised Alteration of Bldg, Flat etc",57
state,27,2011,Unauthorised Banners/ Advt on Road,31
state,27,2011,Unauthorised Commercial Activity,71
state,27,2011,Unauthorised Construction in Slum,48
state,27,2011,Unauthorised Construction on the Plot/ Reserve plot,57
state,27,2011,Unauthorised Construction/ Development,63
state,27,2011,Unauthorised Extension/ Construction,58
state,27,2011,"Unauthorised Factory, Workshop or Garage",66
state,27,2011,Unauthorised Flour Mill,24
state,27,2011,Unauthorised Food Selling/ Preparation (License),37
state,27,2011,Unauthorised Food Selling/ Preparation (MOH),49
state,27,2011,Unauthorised Materials/ Furniture Found/ kept on Foot path and Road,44
state,27,2011,Unauthorised Repairs/ Renovations in Slum,53
state,27,2011,Unauthorised Stalls on roads/ Footpaths,46
state,27,2011,Unauthorised Storage of Explosives,51
state,27,2011,Unauthorised addition/ alteration in the premises/ Building/ Open Space/ Market,92
state,27,2011,Unauthorised shed on building in premise,86
state,27,2011,Unauthorised tapping of water connections,30
state,27,2011,Unauthorised use of Room,80
state,27,2011,Unauthorised use of water-Change of User,37
state,27,2011,Unauthorised workshop or Garage,64
state,27,2011,Unauthorised/ uncovered water storage tanks,50
state,27,2011,Unhygienic conditions of Toilets/ Public urinals,29
state,27,2011,Use of Booster Pump,24
state,27,2011,Water Supply Related,6
state,27,2011,Water supply during non-supply hours,31
state,27,2011,found staff working more than on muster,46
state,14,2011,Water Supply Related,0
state,17,2011,Water Supply Related,0
state,15,2011,Water Supply Related,0
state,13,2011,Water Supply Related,0
state,7,2011,Water Supply Related,0
state,21,2011,Water Supply Related,0
state,34,2011,Water Supply Related,0
state,3,2011,Water Supply Related,0
state,8,2011,Water Supply Related,0
state,11,2011,Water Supply Related,0
state,33,2011,Water Supply Related,0
state,36,2011,Water Supply Related,0
state,16,2011,Water Supply Related,0
state,9,2011,Water Supply Related,0
state,5,2011,Water Supply Related,0
state,19,2011,Water Supply Related,0
